season,players_ge_20mpg,players_ge_10mpg,top5_minute_share,top8_minute_share
2014,6,13,0.4887056722759166,0.6965474161035871
2015,8,11,0.5071716850770367,0.7263260206300308
2016,9,11,0.5140899462340115,0.748802915597039
2017,8,8,0.6045752137558085,0.8860392315358939
2018,5,7,0.6648644732965063,0.8695020131508232
2019,6,12,0.5507279972065202,0.7793105592256425
2020,5,10,0.641168522685985,0.8635787356498671
2021,5,12,0.5599634531741668,0.7587844106719713
2022,8,10,0.5800431664294452,0.8209570164619385
2023,8,12,0.47998489381694487,0.7274602760826878
2024,11,14,0.43905139241382724,0.6696788627460829
2025,6,11,0.5614210225718358,0.7613855066064494
2026,6,11,0.5553184917979244,0.7603271587888212
